"编号","开始答题时间","结束答题时间","答题时长","1.您希望平台提供哪些核心功能:买入/卖出定价","1.您希望平台提供哪些核心功能:股票代码及实时和历史价格查看","1.您希望平台提供哪些核心功能:价格变化通知","1.您希望平台提供哪些核心功能:其他____{fillblank-d8a6}","1.您希望平台提供哪些核心功能:其他____{fillblank-d8a6}[选项填空]","2.您对用户界面和体验有什么特别的要求:操作界面友好、快速上手、功能模块丰富","2.您对用户界面和体验有什么特别的要求:其他____{fillblank-2c87}","2.您对用户界面和体验有什么特别的要求:其他____{fillblank-2c87}[选项填空]","3.您认为系统应该具备哪些安全性和稳定性特征:数据加密","3.您认为系统应该具备哪些安全性和稳定性特征:防火墙","3.您认为系统应该具备哪些安全性和稳定性特征:容错处理","3.您认为系统应该具备哪些安全性和稳定性特征:其他____{fillblank-faab}","3.您认为系统应该具备哪些安全性和稳定性特征:其他____{fillblank-faab}[选项填空]","4.您对数据源和实时更新的要求是什么？:数据来源于Tushare、新浪财经等","4.您对数据源和实时更新的要求是什么？:实时获取和更新股票信息","4.您对数据源和实时更新的要求是什么？:其他____{fillblank-932c}","4.您对数据源和实时更新的要求是什么？:其他____{fillblank-932c}[选项填空]","5.您希望平台支持哪些类型的交易:股票","5.您希望平台支持哪些类型的交易:期货","5.您希望平台支持哪些类型的交易:外汇","5.您希望平台支持哪些类型的交易:其他____{fillblank-2a70}","5.您希望平台支持哪些类型的交易:其他____{fillblank-2a70}[选项填空]","6.您认为平台应该提供哪些辅助功能:投资策略分享","6.您认为平台应该提供哪些辅助功能:社区讨论","6.您认为平台应该提供哪些辅助功能:实时新闻","6.您认为平台应该提供哪些辅助功能:其他____{fillblank-2bfe}","6.您认为平台应该提供哪些辅助功能:其他____{fillblank-2bfe}[选项填空]","7.您对平台的性能有何要求:交易速度","7.您对平台的性能有何要求:数据处理能力","7.您对平台的性能有何要求:并发处理能力","7.您对平台的性能有何要求:其他____{fillblank-744d}","7.您对平台的性能有何要求:其他____{fillblank-744d}[选项填空]","8.您希望平台提供哪些个性化服务:定制投资组合","8.您希望平台提供哪些个性化服务:推荐股票","8.您希望平台提供哪些个性化服务:投资顾问","8.您希望平台提供哪些个性化服务:其他____{fillblank-5bc8}","8.您希望平台提供哪些个性化服务:其他____{fillblank-5bc8}[选项填空]","9.您对平台的合规性和监管要求有何建议:遵循相关法规、合规审查、风险控制","9.您对平台的合规性和监管要求有何建议:其他____{fillblank-4212}","9.您对平台的合规性和监管要求有何建议:其他____{fillblank-4212}[选项填空]","10.其他，请补充","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"10","02-Jul-2024 16:05:15","02-Jul-2024 16:05:45","30","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","D.其他____________","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","什么都要","未清洗","","中国","河南省","信阳市","","39.148.2.168","Mozilla/5.0 (Linux; Android 14; PGT-AN10 Build/HONORPGT-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220099 MMWEBSDK/20240404 MMWEBID/7105 MicroMessenger/8.0.49.2600(0x2800315A) WeChat/arm64","",
"9","02-Jul-2024 15:17:54","02-Jul-2024 15:18:12","18","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","","未清洗","","中国","山东省","青岛市","","2408:8418:d11:1789:17de:5131:2865:b272","Mozilla/5.0 (Linux; Android 14; V2241A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220099 MMWEBSDK/20240404 MMWEBID/9619 MicroMessenger/8.0.49.2600(0x2800315A) WeChat/arm64","",
"8","02-Jul-2024 15:14:54","02-Jul-2024 15:15:14","20","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","无","未清洗","","中国","河南省","信阳市","","171.14.137.55","Mozilla/5.0 (Linux; Android 14; V2301A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220089 MMWEBSDK/20240501 MMWEBID/5953 MicroMessenger/8.0.50.2600(0x2800323B) WeChat/arm64","",
"7","02-Jul-2024 15:14:09","02-Jul-2024 15:14:39","30","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","无","未清洗","","中国","湖北省","武汉市","","58.48.26.119","Mozilla/5.0 (Linux; Android 13; 22127RK46C Build/TKQ1.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.86 MQQBrowser/6.2 TBS/047103 Mobile Safari/537.36 V1_AND_SQ_9.0.65_6588_YYB_D QQ/9.0.65.17370 NetType/WIFI WebP/0.3.","",
"6","02-Jul-2024 11:48:22","02-Jul-2024 11:48:42","20","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","","未清洗","","中国","湖北省","武汉市","","119.98.52.229","Mozilla/5.0 (Linux; Android 14; 2211133C Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.86 MQQBrowser/6.2 TBS/047103 Mobile Safari/537.36 V1_AND_SQ_9.0.65_6588_YYB_D QQ/9.0.65.17370 NetType/WIFI WebP/0.3.0 ","",
"5","02-Jul-2024 11:15:57","02-Jul-2024 11:16:35","38","","","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","","B.实时获取和更新股票信息","","","A.股票","","","","","","","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","","","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","","未清洗","","中国","江苏省","南京市","","2409:8924:e12:130d:fc9e:e7ff:fe28:61a7","Mozilla/5.0 (Linux; Android 14; PHK110 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.86 MQQBrowser/6.2 TBS/047103 Mobile Safari/537.36 V1_AND_SQ_9.0.70_6676_HDBM_T QQ/9.0.70.17590 NetType/4G WebP/0.3.0 App","",
"4","02-Jul-2024 11:15:14","02-Jul-2024 11:15:35","21","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","","未清洗","","中国","湖北省","武汉市","","58.48.26.246","Mozilla/5.0 (Linux; Android 14; 23049RAD8C Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220099 MMWEBSDK/20240404 MMWEBID/8335 MicroMessenger/8.0.49.2600(0x2800315A) WeChat/a","",
"3","02-Jul-2024 11:08:58","02-Jul-2024 11:12:55","237","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","1. 安全可靠：平台需要保护我的个人信息和交易安全，确保交易过程中的数据传输和存储是安全的。 2. 交易费用低：平台的交易费用应该合理，并且透明，不会有隐藏费用，以便降低用户的交易成本，提高投资回报率。 3. 界面简洁易操作：平台的界面应该简洁明了，易于操作。我希望能够快速找到我需要的信息和功能，而不需要花费太多时间在学习如何使用平台上。 4. 优质的客户服务：平台应该提供优质的客户服务，包括在线客服、电话支持和电子邮件等。客服人员应该及时回复我的问题，并能够提供专业的帮助和建议。","未清洗","","中国","湖北省","武汉市","","115.156.141.58","Mozilla/5.0 (Linux; Android 13; V2190A Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.5414.86 MQQBrowser/6.2 TBS/047101 Mobile Safari/537.36 V1_AND_SQ_9.0.60_6478_YYB_D QQ/9.0.60.17095 NetType/WIFI WebP/0.3.0 Ap","",
"2","02-Jul-2024 11:04:04","02-Jul-2024 11:10:23","379","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","无","未清洗","","中国","湖北省","黄石市","","119.103.105.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0","",
"1","02-Jul-2024 11:08:46","02-Jul-2024 11:09:04","18","A.买入/卖出定价","B.股票代码及实时和历史价格查看","C.价格变化通知","","","A.操作界面友好、快速上手、功能模块丰富","","","A.数据加密","B.防火墙","C.容错处理","","","A.数据来源于Tushare、新浪财经等","B.实时获取和更新股票信息","","","A.股票","B.期货","C.外汇","","","A.投资策略分享","B.社区讨论","C.实时新闻","","","A.交易速度","B.数据处理能力","C.并发处理能力","","","A.定制投资组合","B.推荐股票","C.投资顾问","","","A.遵循相关法规、合规审查、风险控制","","","","未清洗","","中国","湖北省","武汉市","","2001:250:4001:5011:3454:2da2:7de3:a392","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 SLBrowser/9.0.3.5211 SLBChan/111","",
